"CityName","CountryName"
"Bryanland","Cameroon"
"Port Christyport","Niger"
"East Kellimouth","Ecuador"
"Perezshire","Falkland Islands (Malvinas)"
"Hernandezfurt","Kenya"
"South Nancy","Western Sahara"
"North Lindseymouth","Djibouti"
"Joshuahaven","Bermuda"
"Jasonmouth","Netherlands"
"Lake Johnmouth","Cameroon"
"Lisaport","China"
"Lake Victorialand","Bangladesh"
"Port Mario","Niger"
"Anthonybury","Sri Lanka"
"South Edwardhaven","Gambia"
"Clarkland","Korea"
"East Kellyborough","Korea"
"Kimberlymouth","Afghanistan"
"Port Kennethhaven","Malaysia"
"South Peter","Martinique"
"Lake Kimberlyburgh","Monaco"
"Olsonville","Iran"
"Mitchellbury","Bahamas"
"Millsside","Morocco"
"Jacobchester","Palestinian Territory"
"Barbarastad","Bulgaria"
"New Cynthiastad","Eritrea"
"Lake Jonathanstad","Bulgaria"
"Port Sandra","Morocco"
"Jamesside","Northern Mariana Islands"
"Dixonborough","Bulgaria"
"Marcusfurt","Switzerland"
"South Maryview","Guernsey"
"Port Regina","Comoros"
"South Dustinport","Saint Pierre and Miquelon"
"Stevenville","Italy"
"New Lisa","Qatar"
"Sarahhaven","Georgia"
"Lake Stephanieton","Bouvet Island (Bouvetoya)"
"East Josephhaven","Mongolia"
"New Joshuaton","Italy"
"East Samuel","Micronesia"
"Christophershire","Lithuania"
"West Kyle","Bermuda"
"Port Tommy","Northern Mariana Islands"
"Tiffanyside","Cyprus"
"Port Patriciachester","Guatemala"
"Maryland","Congo"
"Hopkinsfort","China"
"Brianburgh","Iran"
"West Erikabury","Western Sahara"
"Lindseyhaven","Sweden"
"Lake Justinbury","Zimbabwe"
"Lake Shanefort","Korea"
"West Caleb","Austria"
"Port Martin","Guatemala"
"Davidsontown","Dominican Republic"
"East Kristineburgh","Micronesia"
"Michaeltown","Saint Pierre and Miquelon"
"Jerryborough","Indonesia"
"East Maurice","Costa Rica"
"Harrisonshire","Mauritius"
"Paynemouth","Lebanon"
"Tannerton","Cuba"
"North John","Afghanistan"
"Walkerstad","Chad"
"North Michelle","Hong Kong"
"Phillipsland","Falkland Islands (Malvinas)"
"Christopherton","Cyprus"
"South Ericland","Saudi Arabia"
"Marthashire","Saint Lucia"
"West Natashaborough","Malaysia"
"Bradyton","Congo"
"Stewartchester","Albania"
"Hernandezborough","Luxembourg"
"Larrystad","Saint Vincent and the Grenadines"
"North Douglas","Saint Kitts and Nevis"
"New Michael","Saint Kitts and Nevis"
"South Donnaburgh","Djibouti"
"South Thomas","Cyprus"
"Port Tonyview","Togo"
"Port Nancy","Svalbard & Jan Mayen Islands"
"New Becky","Georgia"
"Calebmouth","Costa Rica"
"Scottburgh","Samoa"
"Herrerafort","Cote d'Ivoire"
"Lewisfort","Czech Republic"
"Kristinahaven","Netherlands Antilles"
"West Susanborough","Senegal"
"Lake Isaacton","Holy See (Vatican City State)"
"East Richardfort","Antarctica (the territory South of 60 deg S)"
"Coxtown","Peru"
"North Levi","Antarctica (the territory South of 60 deg S)"
"North Cathy","Grenada"
"Brooksburgh","Fiji"
"Craigshire","Chile"
"East Victoria","Moldova"
"West Jeffside","Latvia"
"North Justinmouth","British Virgin Islands"
"North Jeremiah","Gibraltar"
"Lake Alec","Colombia"
"Holmesville","Saudi Arabia"
"East Amandaview","Estonia"
"Steelestad","New Caledonia"
"North Michaelshire","Reunion"
"Taylorland","Botswana"
"New Steven","Liechtenstein"
"Natalieside","Norfolk Island"
"Jaimehaven","Tajikistan"
"Lake Pamela","Guyana"
"East Wanda","Macao"
"West Matthewhaven","United Arab Emirates"
"South Franceston","Kyrgyz Republic"
"Drewfort","Ghana"
"Lake Tristan","Korea"
"Lisaland","China"
"Matthewburgh","Falkland Islands (Malvinas)"
"Port Kristy","Tonga"
"Lake Jamieville","France"
"Ianmouth","Iran"
"East Linda","Bolivia"
"Lake Annamouth","Cameroon"
"East Roger","Macao"
"Pachecofort","Angola"
"Jessemouth","Angola"
"East Colton","Jersey"
"Kaylafort","Mexico"
"Natashaberg","Saint Kitts and Nevis"
"Hansenville","Korea"
"Willieview","Micronesia"
"East Ryanside","Greece"
"West Connieville","Sao Tome and Principe"
"South Pamela","Tanzania"
"Matthewfurt","Hong Kong"
"Port Jonathanview","Suriname"
"Sarahport","Uganda"
"Michaelbury","China"
"Port Jeffreyside","Ukraine"
"Stevenchester","Armenia"
"Robertview","Mauritania"
"Lake Rebeccachester","Kenya"
"New Kimberly","Bulgaria"
"Karenhaven","Gambia"
"Meyersfort","Costa Rica"
"Hammondmouth","Iran"
"New Kennethtown","Portugal"
"Robertsburgh","Mauritius"
"Taylorview","Croatia"
"Andrewbury","Andorra"
"Whiteheadfurt","Bangladesh"
"Fordberg","Nepal"
"Port Amyton","French Southern Territories"
"New Timothy","Brunei Darussalam"
"Lloydville","Montserrat"
"Justinhaven","Paraguay"
"South Tylerton","Czech Republic"
"Kingview","Togo"
"West Erinton","Belgium"
"West Susanshire","Slovakia (Slovak Republic)"
"Port Ryanview","Israel"
"South Patriciafurt","Venezuela"
"Port Robert","Haiti"
"Edwardsview","Bhutan"
"Valdezbury","India"
"West Markberg","Iran"
"Christopherborough","Jamaica"
"New Michelleborough","Qatar"
"Freemanton","Poland"
"East Susantown","Belize"
"North Dorisport","Morocco"
"Elizabethport","Liberia"
"East Regina","Hong Kong"
"New Feliciafort","Panama"
"West Sandra","Lao People's Democratic Republic"
"Jorgechester","Armenia"
"Donaldland","Saint Martin"
"Port Hunter","Burundi"
"Cunninghamburgh","Djibouti"
"North Tommy","Chile"
"Barnettton","Papua New Guinea"
"New Kimberly","Belarus"
"South Alexandra","Ghana"
"Smithview","Yemen"
"Cruzhaven","Montserrat"
"Dianetown","Nicaragua"
"Port Katrinaburgh","Saint Lucia"
"East Christopher","Bulgaria"
"Port Regina","Cambodia"
"Thomasberg","Niger"
"West Danielton","Italy"
"South Dennis","Ukraine"
"Stacymouth","Solomon Islands"
"Hortonport","Venezuela"
"West Sherriburgh","Bhutan"
"South Sara","United Kingdom"
"North Shelby","Malaysia"
"Medinahaven","Bolivia"
"Charlesshire","Jersey"
"Deniseview","Puerto Rico"
"Duncanside","Mauritania"
"Pittsside","Estonia"
"South Teresa","Saint Pierre and Miquelon"
"Lake Alisonmouth","Croatia"
"Johnsonport","Pitcairn Islands"
"North Stephenmouth","Venezuela"
"East Hailey","Albania"
"Lauriechester","Netherlands Antilles"
"Strongview","Papua New Guinea"
"North Pamela","Burkina Faso"
"New Brittany","Armenia"
"Lake Kathrynburgh","Nepal"
"Fuentesfort","Bulgaria"
"Lake Joshualand","Yemen"
"West Michael","Montserrat"
"West Dustin","Vanuatu"
"Dominguezberg","Costa Rica"
"Port Derek","Kenya"
"Hinesmouth","Lao People's Democratic Republic"
"Dixonfort","French Polynesia"
"Benjaminshire","Lithuania"
"East Jeremymouth","Mayotte"
"Wilkinsonborough","Grenada"
"Lake Joshuamouth","Montenegro"
"Port Scottton","United Arab Emirates"
"Sergioport","Mali"
"West Warren","Bulgaria"
"North Deborah","Sweden"
"Loweburgh","Ukraine"
"Woodsburgh","Taiwan"
"Garciaville","Bulgaria"
"Cardenasshire","Wallis and Futuna"
"Lake Joshua","Turkmenistan"
"South Mandyton","Sweden"
"Williamsshire","Rwanda"
"North Jacobside","Czech Republic"
"Melvinberg","Netherlands"
"New Stacyfort","Saint Lucia"
"Lake Angela","Bouvet Island (Bouvetoya)"
"Mcintoshport","Croatia"
"New Audreyton","Equatorial Guinea"
"New Karen","Samoa"
"Davisshire","Senegal"
"Joshuafort","Armenia"
"East Danielview","Bahrain"
"South Victoriaview","Belize"
"West Danielchester","Kiribati"
"Lake Marcside","Christmas Island"
"New Jordanfurt","Algeria"
"North Megan","Burundi"
"Brownland","Western Sahara"
"Cristianside","United States Virgin Islands"
"South Anthony","Lao People's Democratic Republic"
"West Jerryland","Nicaragua"
"Port Dustinhaven","Lao People's Democratic Republic"
"New Jasonburgh","Chad"
"West Jameshaven","Greece"
"Trevorfurt","Tokelau"
"Smithchester","Andorra"
"Timothyport","Eritrea"
"Jonesside","Tanzania"
"North Sarah","Guinea-Bissau"
"Perryhaven","Slovenia"
"South Cathy","Indonesia"
"Perezstad","Mongolia"
"West Nicoleside","Taiwan"
"North Barbarashire","Kyrgyz Republic"
"Port Jackson","Antigua and Barbuda"
"East Keithport","Maldives"
"North Patricia","South Africa"
"Lake Manuel","Togo"
"Port Susanland","Nepal"
"Robinsontown","Bahamas"
"Elizabethburgh","Cayman Islands"
"Thomastown","Papua New Guinea"
"Port Christinaview","New Caledonia"
"Owenview","Bolivia"
"North Nathaniel","Holy See (Vatican City State)"
"Barberburgh","Sierra Leone"
"West Robertfort","Tunisia"
"Leeshire","Namibia"
"Timothychester","Guyana"
"Vincentton","British Indian Ocean Territory (Chagos Archipelago)"
"Rojasview","Tonga"
"Youngville","Chad"
"Donovanview","Ethiopia"
"South Maria","Angola"
"Contrerastown","Latvia"
"Lake Kellie","Ecuador"
"Samanthaville","Micronesia"
"Whitneymouth","Djibouti"
"East Robert","Sao Tome and Principe"
"Wilsonstad","Slovakia (Slovak Republic)"
"North Anthonystad","Sao Tome and Principe"
"Lake Brooketown","China"
"Andreamouth","Martinique"
"Williammouth","Somalia"
"New Cynthia","Belgium"
"Hamiltonbury","Sao Tome and Principe"
"Priceshire","Eritrea"
"Montgomeryville","Nicaragua"
"North Staceyfurt","Bouvet Island (Bouvetoya)"
"West Thomasfurt","Trinidad and Tobago"
"East Andrew","Pitcairn Islands"
"Pruittmouth","Ecuador"
"Walshbury","Jamaica"
"Joshuafort","Bosnia and Herzegovina"
"Lake Peterbury","Gambia"
"East Deborah","Pitcairn Islands"
"New Danielleport","Tonga"
"East Samuel","Portugal"
"Nolanburgh","Saint Lucia"
"North Sue","Mauritania"
"Tashamouth","Albania"
"Port Jacqueline","Ghana"
"Smithburgh","Heard Island and McDonald Islands"
"Vaughnberg","Nauru"
"New Danielfurt","Poland"
"Debbieland","Indonesia"
"Lake Anthonyview","Spain"
"Ericaburgh","Lesotho"
"Port Amber","Saint Vincent and the Grenadines"
"Victoriahaven","Bahrain"
"South Bruce","Georgia"
"Mooreside","Zambia"
"Leonardfort","Sao Tome and Principe"
"Kathyberg","Guadeloupe"
"South Johnchester","Niger"
"Lake Ricardo","Bahamas"
"Ramirezfort","Spain"
"Millermouth","Brunei Darussalam"
"West Joseph","Bermuda"
"Williamsshire","Liberia"
"Lake Gerald","Central African Republic"
"Morrisburgh","Jamaica"
"Bensonfurt","Burkina Faso"
"Adamsfort","Cameroon"
"Michellehaven","Suriname"
"West Sheila","Gabon"
"Hendersonstad","Saudi Arabia"
"West Rachel","Italy"
"Vincentberg","Portugal"
"Port Phillip","United Kingdom"
"Port Kenneth","Thailand"
"Aimeechester","Pakistan"
"New Roy","Western Sahara"
"Ashleyberg","Paraguay"
"Smithport","Cyprus"
"Port Davidfort","Micronesia"
"South Jeffrey","Guadeloupe"
"Sarahmouth","United Kingdom"
"West Yvette","Uganda"
"West Rebeccabury","Honduras"
"Amandahaven","Mozambique"
"South Emily","Northern Mariana Islands"
"West Kevinshire","Saint Barthelemy"
"Maynardberg","Burkina Faso"
"New Amandaberg","United Arab Emirates"
"Lake Brandon","Lesotho"
"Amberchester","Ghana"
"West Dianebury","Saint Kitts and Nevis"
"West Jeffreyfurt","Korea"
"Lovefurt","Vanuatu"
"East Karen","Czech Republic"
"Robertofurt","Svalbard & Jan Mayen Islands"
"Foxbury","Grenada"
"Lindaton","Rwanda"
"North Nicholas","Puerto Rico"
"Karenville","Maldives"
"South Andrew","Martinique"
"Smithhaven","Eritrea"
"Mullinsmouth","Algeria"
"West Monicafurt","Holy See (Vatican City State)"
"Hallborough","Bangladesh"
"North Robert","Sudan"
"West Jasonland","Oman"
"Atkinsville","Congo"
"Williamsburgh","Liberia"
"Cummingsport","Guyana"
"Lake Daniel","Russian Federation"
"Billyfort","Solomon Islands"
"North Diana","Mozambique"
"Vargasport","Denmark"
"Benjaminfurt","India"
"Lynntown","Netherlands Antilles"
"West Catherinestad","Saint Lucia"
"Tuckerchester","Panama"
"Holtberg","Oman"
"East Katiefort","Libyan Arab Jamahiriya"
"South Bruce","Senegal"
"Crawfordchester","Nicaragua"
"Michelleside","Suriname"
"New Lisaberg","Comoros"
"Smithshire","South Africa"
"Hooverville","Bolivia"
"Coreyfurt","Canada"
"Port Brandonside","Romania"
"Lorihaven","Papua New Guinea"
"Cookhaven","Korea"
"Lake Jesse","Cocos (Keeling) Islands"
"Tylerfurt","San Marino"
"East Teresa","Afghanistan"
"Lake Laura","Syrian Arab Republic"
"Waltersside","Zambia"
"Nicholasview","Belarus"
"New Tracey","Palestinian Territory"
"Jimberg","Mali"
"South Chelseastad","India"
"West Johnnyshire","Qatar"
"Lake Matthewshire","Aruba"
"Williamschester","French Guiana"
"Lake Marilyntown","Namibia"
"Port Cynthiaport","Marshall Islands"
"East Rebekah","Andorra"
"New Laura","Anguilla"
"North Krystalshire","Mexico"
"Port Stephenton","Egypt"
"South Kara","Russian Federation"
"Lake Kyle","Mauritania"
"Territon","Haiti"
"Hernandezborough","Morocco"
"North Edwin","South Georgia and the South Sandwich Islands"
"Ericfort","Romania"
"Lake Eric","Aruba"
"Brittanymouth","South Georgia and the South Sandwich Islands"
"Nicoleborough","Ecuador"
"Lake James","Malawi"
"New Williambury","Lesotho"
"Kirbyhaven","Bulgaria"
"Daviston","Croatia"
"Port Sarahmouth","Micronesia"
"North Christophershire","Marshall Islands"
"Sheachester","Czech Republic"
"Mcdanielborough","Nigeria"
"New Robert","Argentina"
"South Bonnie","Monaco"
"North Joseph","Bolivia"
"Danielborough","Equatorial Guinea"
"Woodschester","Switzerland"
"North Marystad","Liberia"
"New Kristin","Botswana"
"Port Brianbury","Bangladesh"
"South Dalebury","Poland"
"Burkeport","France"
"Morrowside","Marshall Islands"
"Richardsonland","Belarus"
"Lewisborough","Saint Barthelemy"
"South Bryan","Wallis and Futuna"
"Elizabethshire","Iraq"
"South Williamland","Trinidad and Tobago"
"North Christopherfurt","Malaysia"
"Yoderfort","French Polynesia"
"East Cassandra","Swaziland"
"Margaretview","Guernsey"
"Richardton","Sierra Leone"
"Castilloport","Timor-Leste"
"Petersonstad","Namibia"
"Khanmouth","Jamaica"
"New Hayley","Seychelles"
"Troyfurt","Belize"
"Brookemouth","Palestinian Territory"
"Williamland","Turkmenistan"
"North Jamesfort","Bosnia and Herzegovina"
"North Barryfurt","Croatia"
"Lake Derek","Nauru"
"Russellmouth","Djibouti"
"Gentryberg","United Kingdom"
"Matthewton","Saint Helena"
"Johnfort","Equatorial Guinea"
"East Whitney","Djibouti"
"North Paigeside","Angola"
"Morenobury","Bangladesh"
"Rossburgh","Netherlands"
"Martinezchester","Dominica"
"North Christopher","Ukraine"
"Thomasmouth","Samoa"
"West Alexisfort","Lithuania"
"Davidton","Jordan"
"New Cynthia","Guinea"
"Washingtontown","Ghana"
"Lake Davidton","Macao"
"Port Angel","Austria"
"North Markport","Guernsey"
"North Anthony","Hungary"
"South Katherineview","Trinidad and Tobago"
"West Jaystad","Croatia"
"Tylerton","South Georgia and the South Sandwich Islands"
"Williammouth","Netherlands Antilles"
"North Jasonshire","Bhutan"
"Mclaughlintown","Tokelau"
"Garciatown","Sri Lanka"
"Bradleyfort","Puerto Rico"
"Melissafort","Serbia"
"Callahanside","Austria"
"Brianview","Swaziland"
"Gabriellehaven","Japan"
"Port Patriciafurt","Monaco"
"Jodiburgh","Northern Mariana Islands"
"Gonzalezfort","Qatar"
"Timothyville","Timor-Leste"
"Christinastad","Equatorial Guinea"
"New Davidmouth","Croatia"
"Hardingland","Saint Lucia"
"Lake Jessicaside","Guernsey"
"Lake Michael","Sudan"
"Bautistaland","Japan"
"Contreraston","Guam"
"Baxterstad","Bermuda"
"Gamblestad","Jersey"
"North Travis","Greenland"
"Port Michaelfort","Greece"
"Barberview","Jordan"
"West Ashleystad","Benin"
"South Alexanderfort","Tonga"
"Sanchezview","Congo"
"West Rachelmouth","Latvia"
"Lynntown","Malta"
"Gabrielport","South Georgia and the South Sandwich Islands"
"Courtneyton","Estonia"
"East Mary","Saint Helena"
"Danaland","Christmas Island"
"North Angelaview","Netherlands"
"Beckerville","Kyrgyz Republic"
"Williamsfort","Hungary"
"Lake Lorichester","Moldova"
"Lewismouth","Turkey"
"Pamelachester","Guadeloupe"
"West Angelaville","Tunisia"
"Salasstad","Greece"
"West Timothy","Germany"
"South Lindsaystad","Bosnia and Herzegovina"
"East Patrickview","Bahamas"
"Kennethstad","Iran"
"North Nicolestad","Kenya"
"East Stephanie","El Salvador"
"Taraborough","Syrian Arab Republic"
"New Jasmine","Mali"
"Perezville","Kuwait"
"New Ernest","Comoros"
"Lewishaven","Cocos (Keeling) Islands"
"Lake Reneeview","Brunei Darussalam"
"South Paulaport","Kyrgyz Republic"
"East Dustinfort","Tuvalu"
"North Sara","Malaysia"
"South Katherine","Sierra Leone"
"North Williamberg","Bouvet Island (Bouvetoya)"
"Valenzuelaville","Ireland"
"Lake Stephanieland","Eritrea"
"East Stacieshire","Cameroon"
"Batestown","Mexico"
"Shieldsland","Uzbekistan"
"Stevenborough","Montenegro"
"Lake Johnfurt","Egypt"
"Stacyfurt","Estonia"
"West April","Congo"
"Williamland","Ukraine"
"East Robin","Bulgaria"
"East Doris","Korea"
"Smithburgh","Cape Verde"
"East Brianna","Haiti"
"Guzmanchester","British Virgin Islands"
"East Williamview","Malta"
"Lauraburgh","Costa Rica"
"Williammouth","Philippines"
"Port Davidfurt","Korea"
"East Emilychester","Belgium"
"Lake Rebecca","Congo"
"Lake Michaelton","Turkmenistan"
"Lake Jason","Bulgaria"
"Jonesfurt","Lao People's Democratic Republic"
"Port Darrell","Philippines"
"New Johnport","British Indian Ocean Territory (Chagos Archipelago)"
"New Michelle","Brunei Darussalam"
"Davidfort","Saint Helena"
"New Daisyburgh","Malta"
"South Bethanyport","Gibraltar"
"North Jessica","Bulgaria"
"Sheltonton","Singapore"
"Lake John","Korea"
"North Kristine","Myanmar"
"Lake Johnathanstad","Serbia"
"Tammyview","Tuvalu"
"New Toddport","Maldives"
"North Ericborough","Bahamas"
"Port Kimville","Korea"
"West Williammouth","South Africa"
"Contrerasfort","Micronesia"
"New Ericatown","French Polynesia"
"Lake Sara","Slovakia (Slovak Republic)"
"Englishhaven","Indonesia"
"Lake Jessica","Indonesia"
"Kingborough","Malta"
"Brownville","Antigua and Barbuda"
"Pearsonstad","Vietnam"
"Margaretchester","Chile"
"Lake Amandafort","Spain"
"Vazquezbury","Egypt"
"Jacksonhaven","Isle of Man"
"New Vincent","Saint Lucia"
"Grayport","Italy"
"Phillipfurt","Martinique"
"West Davidborough","Ukraine"
"New Luke","Saint Martin"
"Carlview","Norfolk Island"
"Powersborough","Guinea-Bissau"
"West Michelle","Uruguay"
"Jamesberg","Greenland"
"East Juanburgh","Lao People's Democratic Republic"
"North Adam","Cambodia"
"Smithview","Saint Helena"
"New Rhondaton","Saint Lucia"
"South Ricky","Tokelau"
"Kristinland","Antarctica (the territory South of 60 deg S)"
"Ashleyville","Nicaragua"
"Walkershire","Romania"
"South Kathryn","Namibia"
"South Danny","Ecuador"
"South Vincentside","Morocco"
"East Lisastad","South Georgia and the South Sandwich Islands"
"Lake Allison","Nepal"
"South Nathaniel","United Kingdom"
"Wilsonstad","Moldova"
"Port Stacey","Saint Kitts and Nevis"
"West Michellemouth","Sri Lanka"
"Barnesbury","Bhutan"
"Tonyamouth","Dominica"
"Kariburgh","Samoa"
"East Carlosshire","Faroe Islands"
"Brianview","Lithuania"
"Lindachester","Guyana"
"Amandabury","Comoros"
"Nancyview","Singapore"
"Goodmanton","Tuvalu"
"Coleland","Chad"
"Johnsonbury","Iceland"
"Lake Darrenville","Spain"
"Powersside","Malaysia"
"Karafort","Antarctica (the territory South of 60 deg S)"
"Lake Christopherland","Niue"
"Jacksonville","Ecuador"
"Ericksonland","Fiji"
"North Stephanieborough","Nauru"
"Henryville","Monaco"
"Michealstad","Saint Vincent and the Grenadines"
"Donnashire","Saint Lucia"
"Port Jocelyn","Pakistan"
"East Wanda","Bosnia and Herzegovina"
"Adamsmouth","Netherlands"
"North Paulburgh","Taiwan"
"South Jasonbury","Costa Rica"
"Port Joanna","Grenada"
"Wendytown","Romania"
"West Austinmouth","Comoros"
"North Michaelport","Anguilla"
"Fitzgeraldmouth","Paraguay"
"Melissahaven","Uzbekistan"
"Port Bailey","Svalbard & Jan Mayen Islands"
"Georgeburgh","United Arab Emirates"
"South Jennifer","Guinea-Bissau"
"Trevorshire","United Kingdom"
"West Pamelamouth","Central African Republic"
"Baileyfort","Norway"
"North John","Vietnam"
"Samanthaport","Cuba"
"Richardsonburgh","Guatemala"
"Vanessafort","Syrian Arab Republic"
"Larsonview","Mexico"
"Lake Amanda","Norway"
"Mendozastad","Seychelles"
"Leonardfurt","Cote d'Ivoire"
"East Lauren","United States Virgin Islands"
"South Jeremyfurt","Ukraine"
"South Adrianastad","Croatia"
"Pamelahaven","Afghanistan"
"Andrewside","El Salvador"
"Port Danielle","Turkey"
"Robersonchester","Wallis and Futuna"
"Holmesstad","Chad"
"South Patriciamouth","Croatia"
"Port Aaron","Macedonia"
"Patrickberg","Isle of Man"
"Michaelfurt","Pakistan"
"Hoodborough","Bahrain"
"Lake Troymouth","Netherlands Antilles"
"Port Jessica","Mauritius"
"South Connorton","Japan"
"Lake Cheryl","Central African Republic"
"Lake Brittanymouth","Vanuatu"
"Pedroborough","Chad"
"North Brittanyborough","Heard Island and McDonald Islands"
"Lindsaychester","Montserrat"
"West Maurice","Benin"
"Katieborough","Saint Martin"
"East Elizabethmouth","Ireland"
"South Jasmine","Christmas Island"
"North Terranceborough","El Salvador"
"Tranville","Angola"
"South Natalie","Slovenia"
"West Erica","Congo"
"Heatherview","China"
"New Frankhaven","Indonesia"
"Jeremychester","Mayotte"
"Deborahchester","Bolivia"
"North Heidi","Afghanistan"
"Sherriton","Congo"
"Erinside","Thailand"
"Lake Julie","Tunisia"
"Destinyfurt","New Zealand"
"Shawntown","Egypt"
"New Kristenport","Singapore"
"Taylormouth","Saint Helena"
"Lake Jason","Namibia"
"East Danaport","Cameroon"
"Port Jeff","Nepal"
"Brentfurt","Norway"
"New Leroyfort","Estonia"
"Melissafurt","American Samoa"
"New Tammyborough","Cameroon"
"Port Robert","Papua New Guinea"
"Rickyview","Ethiopia"
"New William","Morocco"
"Christianport","Portugal"
"Lake Amber","Congo"
"North Samanthamouth","Mauritius"
"New Christopher","Zimbabwe"
"Fowlermouth","Grenada"
"Wheelerfort","India"
"Wrightland","Czech Republic"
"Port Ryanside","Haiti"
"Kimland","Maldives"
"Thompsonbury","Hungary"
"East Marioport","Niue"
"North Maria","Taiwan"
"Port Jennahaven","Philippines"
"West Anthonyberg","Nicaragua"
"Taylorside","Turks and Caicos Islands"
"Walkerhaven","Senegal"
"Thompsonhaven","Iran"
"New Lorihaven","South Africa"
"Martinezmouth","Venezuela"
"Jamesview","Sudan"
"Woodborough","Guatemala"
"Reedchester","Guam"
"North Sean","Svalbard & Jan Mayen Islands"
"Jennaborough","Sierra Leone"
"North Josephborough","United States Minor Outlying Islands"
"South Brookeshire","British Indian Ocean Territory (Chagos Archipelago)"
"East Adam","Bahrain"
"Port Kevin","Albania"
"East Randy","San Marino"
"East Joshua","Malawi"
"Lake Gabriellachester","Central African Republic"
"Whitefurt","Belize"
"Quinnborough","Andorra"
"Lake Ericville","Moldova"
"Port Ricardoville","Jordan"
"South Savannah","Ecuador"
"East Brittany","Lesotho"
"North Jessica","South Georgia and the South Sandwich Islands"
"Lisaberg","Libyan Arab Jamahiriya"
"Timothyburgh","Tuvalu"
"Port Phyllisborough","Argentina"
"Reedberg","San Marino"
"Amandatown","Ghana"
"Williamtown","Poland"
"East Duanefort","Montenegro"
"Lisaborough","Bouvet Island (Bouvetoya)"
"East Heatherview","Algeria"
"Alyssahaven","Svalbard & Jan Mayen Islands"
"North Dylan","Saint Martin"
"Guerrerochester","Japan"
"North Angela","Venezuela"
"Archertown","Korea"
"New Ericafort","Spain"
"Bridgetland","Luxembourg"
"Sullivanbury","Macedonia"
"New Aliciastad","Lao People's Democratic Republic"
"South Noah","Germany"
"Patriciastad","Papua New Guinea"
"Watersbury","Central African Republic"
"West Julianport","Iraq"
"Roachstad","Jersey"
"Keithfurt","Kazakhstan"
"Ashleeberg","South Georgia and the South Sandwich Islands"
"Burnschester","Cape Verde"
"Josephton","American Samoa"
"Lake Katherinechester","Bahamas"
"Mooreberg","Syrian Arab Republic"
"Torresmouth","Mexico"
"Evanston","Korea"
"South Michael","Tuvalu"
"Sarahside","Kuwait"
"Oliviaview","Iraq"
"Murrayville","Andorra"
"Hillview","Romania"
